IDVenta,Unidades,Ingresos por productos (MXN),Cargo por venta e impuestos,Costos de envío,Total (MXN),Venta por publicidad,IDproducto,Canal de venta,Precio unitario de venta de la publicación (MXN),Municipio/Alcaldía,Estado,Código postal,Forma de entrega,Transportista,Fecha Venta,FechaCamino,FechaEntrega,Ganancia,Tiempo de entrega (días),Fecha Venta_season,Fecha Venta_day_of_week,Fecha Venta_holiday,Fecha Venta_month,Fecha Venta_year,FechaCamino_season,FechaCamino_day_of_week,FechaCamino_holiday,FechaCamino_month,FechaCamino_year,FechaEntrega_season,FechaEntrega_day_of_week,FechaEntrega_holiday,FechaEntrega_month,FechaEntrega_year
2000003611522357,1,280.25,-88.7900009155273,0.0,191.460006713867,Sí,MLM797897673,Mercado Libre,147.25,Pachuca De Soto,Hidalgo,42090,Mercado Envíos Full,Mercado Envios,2022-03-28,2022-03-28,2022-03-28,280.2500076293943,0,Spring,Monday,False,March,2022,Spring,Monday,False,March,2022,Spring,Monday,False,March,2022
2000003606037497,2,301.0,-118.51000213623,0.0,182.490005493164,No,MLM797897673,Mercado Libre,147.25,Azcapotzalco,Distrito Federal,2440,Mercado Envíos Full,Mercado Envios,2022-03-02,2022-03-02,2022-03-02,301.000007629394,0,Spring,Wednesday,False,March,2022,Spring,Wednesday,False,March,2022,Spring,Wednesday,False,March,2022
2000003605520469,2,310.0,-120.550003051758,0.0,189.449996948242,No,MLM797897673,Mercado Libre,155.0,Atizapán De Zaragoza,Estado De México,52960,Mercado Envíos Full,Mercado Envios,2022-02-25,2022-02-25,2022-02-25,310.0,0,Winter,Friday,False,February,2022,Winter,Friday,False,February,2022,Winter,Friday,False,February,2022
2000003679580102,1,274.35,-87.4100036621094,-94.0,186.940002441406,Sí,MLM797897673,Mercado Libre,147.25,Iztapalapa,Distrito Federal,9500,Mercado Envíos Full,Mercado Envios,2022-02-23,2022-02-23,2022-02-23,368.3500061035154,0,Winter,Wednesday,False,February,2022,Winter,Wednesday,False,February,2022,Winter,Wednesday,False,February,2022
2000003666778344,1,795.0,-180.929992675781,-78.0,536.070007324219,Sí,MLM797897673,Mercado Libre,147.25,Tultitlán,Estado De México,54930,Mercado Envíos Full,Mercado Envios,2022-02-12,2022-02-12,2022-02-12,795.0,0,Winter,Saturday,False,February,2022,Winter,Saturday,False,February,2022,Winter,Saturday,False,February,2022
2000003637144886,1,236.5,-78.8300018310547,-99.0,157.669998168945,Sí,MLM797897673,Mercado Libre,147.25,Cuauhtémoc,Distrito Federal,6450,Mercado Envíos Full,Mercado Envios,2022-02-02,2022-02-02,2022-02-02,335.49999999999966,0,Winter,Wednesday,False,February,2022,Winter,Wednesday,False,February,2022,Winter,Wednesday,False,February,2022
2000003565984505,1,142.6,-57.4500007629395,0.0,85.1500015258789,Sí,MLM797897673,Mercado Libre,155.0,Atizapán De Zaragoza,Estado De México,52966,Mercado Envíos Full,Mercado Envios,2021-12-19,2021-12-19,2021-12-19,142.60000228881842,0,Winter,Sunday,False,December,2021,Winter,Sunday,False,December,2021,Winter,Sunday,False,December,2021
2000003558038817,1,185.0,-67.0999984741211,0.0,117.900001525879,No,MLM797897673,Mercado Libre,147.25,Nezahualcoyotl,Estado De México,57600,Mercado Envíos Full,Mercado Envios,2021-12-13,2021-12-13,2021-12-13,185.0000000000001,0,Winter,Monday,False,December,2021,Winter,Monday,False,December,2021,Winter,Monday,False,December,2021
2000003533499073,2,332.5,-125.680000305176,0.0,206.820007324219,No,MLM797897673,Mercado Libre,144.149993896484,Guadalajara,Jalisco,44987,Mercado Envíos Full,Mercado Envios,2021-11-14,2021-11-14,2021-11-14,332.500007629395,0,Fall,Sunday,False,November,2021,Fall,Sunday,False,November,2021,Fall,Sunday,False,November,2021
2000002876855509,2,310.0,-120.550003051758,0.0,189.449996948242,No,MLM797896213,Mercado Libre,185.0,Iztapalapa,Distrito Federal,9850,Mercado Envíos Full,Mercado Envios,2022-09-06,2022-09-06,2022-09-06,310.0,0,Fall,Tuesday,False,September,2022,Fall,Tuesday,False,September,2022,Fall,Tuesday,False,September,2022
5406964824,1,166.25,-62.8400001525879,-99.0,103.410003662109,No,MLM797896213,Mercado Libre,185.0,Azcapotzalco,Distrito Federal,2090,Mercado Envíos Full,Mercado Envios,2022-09-03,2022-09-03,2022-09-03,265.2500038146969,0,Fall,Saturday,False,September,2022,Fall,Saturday,False,September,2022,Fall,Saturday,False,September,2022
5401817114,1,166.25,-62.8400001525879,-94.0,103.410003662109,Sí,MLM797896213,Mercado Libre,185.0,Naucalpan,Estado De México,53240,Mercado Envíos Full,Mercado Envios,2022-09-02,2022-09-02,2022-09-02,260.2500038146969,0,Fall,Friday,False,September,2022,Fall,Friday,False,September,2022,Fall,Friday,False,September,2022
5401342919,1,166.25,-62.8400001525879,-98.0,103.410003662109,Sí,MLM797896213,Mercado Libre,185.0,Nezahualcoyotl,Estado De México,57000,Mercado Envíos Full,Mercado Envios,2022-09-02,2022-09-02,2022-09-02,264.2500038146969,0,Fall,Friday,False,September,2022,Fall,Friday,False,September,2022,Fall,Friday,False,September,2022
2000002870491095,1,295.0,-92.129997253418,-89.0,202.869995117188,No,MLM797896213,Mercado Libre,185.0,Coyoacán,Distrito Federal,4369,Mercado Envíos Full,Mercado Envios,2022-08-30,2022-08-30,2022-08-30,383.99999237060604,0,Summer,Tuesday,False,August,2022,Summer,Tuesday,False,August,2022,Summer,Tuesday,False,August,2022
2000002866950812,4,665.0,-251.350006103516,0.0,413.649993896484,Sí,MLM797896213,Mercado Libre,185.0,Monterrey,Nuevo León,64520,Mercado Envíos Full,Mercado Envios,2022-08-25,2022-08-25,2022-08-25,665.0,0,Summer,Thursday,False,August,2022,Summer,Thursday,False,August,2022,Summer,Thursday,False,August,2022
2000002866620161,3,498.75,-188.520004272461,0.0,310.230010986328,Sí,MLM797896213,Mercado Libre,185.0,León,Guanajuato,37004,Mercado Envíos Full,Mercado Envios,2022-08-24,2022-08-24,2022-08-24,498.750015258789,0,Summer,Wednesday,False,August,2022,Summer,Wednesday,False,August,2022,Summer,Wednesday,False,August,2022
5374661939,1,166.25,-62.8400001525879,-89.0,103.410003662109,Sí,MLM797896213,Mercado Libre,185.0,Irapuato,Guanajuato,36560,Mercado Envíos Full,Mercado Envios,2022-08-23,2022-08-23,2022-08-23,255.2500038146969,0,Summer,Tuesday,False,August,2022,Summer,Tuesday,False,August,2022,Summer,Tuesday,False,August,2022
2000002864831322,1,295.0,-92.129997253418,0.0,202.869995117188,Sí,MLM797896213,Mercado Libre,185.0,Naucalpan,Estado De México,53100,Mercado Envíos Full,Mercado Envios,2022-08-22,2022-08-22,2022-08-22,294.99999237060604,0,Summer,Monday,False,August,2022,Summer,Monday,False,August,2022,Summer,Monday,False,August,2022
2000002842742787,1,175.0,-64.8300018310547,-39.0,110.169998168945,Sí,MLM797896213,Mercado Libre,175.0,Tultitlán,Estado De México,54929,Mercado Envíos Full,Mercado Envios,2022-07-18,2022-07-18,2022-07-18,213.99999999999972,0,Summer,Monday,False,July,2022,Summer,Monday,False,July,2022,Summer,Monday,False,July,2022
2000002838024309,1,166.25,-62.8400001525879,-20.2000007629395,103.410003662109,No,MLM797896213,Mercado Libre,169.0,Iztacalco,Distrito Federal,8100,Mercado Envíos Full,Mercado Envios,2022-06-22,2022-06-22,2022-06-22,186.4500045776364,0,Summer,Wednesday,False,June,2022,Summer,Wednesday,False,June,2022,Summer,Wednesday,False,June,2022
5259694498,1,166.25,-62.8400001525879,-94.0,103.410003662109,No,MLM797896213,Mercado Libre,150.5,Monterrey,Nuevo León,64103,Mercado Envíos Full,Mercado Envios,2022-06-07,2022-06-07,2022-06-07,260.2500038146969,0,Summer,Tuesday,False,June,2022,Summer,Tuesday,False,June,2022,Summer,Tuesday,False,June,2022
2000002830653771,1,255.0,-83.0400009155273,-100.0,171.960006713867,Sí,MLM797896213,Mercado Libre,185.0,Nezahualcoyotl,Estado De México,57000,Mercado Envíos Full,Mercado Envios,2022-05-17,2022-05-17,2022-05-17,355.00000762939425,0,Spring,Tuesday,False,May,2022,Spring,Tuesday,False,May,2022,Spring,Tuesday,False,May,2022
5248013662,1,185.25,-67.1699981689453,-89.0,118.080001831055,No,MLM797896213,Mercado Libre,175.0,Coacalco de Berriozabal,Estado De México,55714,Mercado Envíos Full,Mercado Envios,2022-05-14,2022-05-14,2022-05-14,274.2500000000003,0,Spring,Saturday,False,May,2022,Spring,Saturday,False,May,2022,Spring,Saturday,False,May,2022
5243784900,1,295.0,-92.129997253418,-89.0,202.869995117188,No,MLM797896213,Mercado Libre,175.0,Ecatepec de Morelos,Estado De México,55266,Mercado Envíos Full,Mercado Envios,2022-05-10,2022-05-10,2022-05-10,383.99999237060604,0,Spring,Tuesday,False,May,2022,Spring,Tuesday,False,May,2022,Spring,Tuesday,False,May,2022
2000002826426248,2,510.0,-166.070007324219,0.0,343.929992675781,No,MLM797896213,Mercado Libre,179.0,Gustavo A. Madero,Distrito Federal,7360,Mercado Envíos Full,Mercado Envios,2022-04-28,2022-04-28,2022-04-28,510.0,0,Spring,Thursday,False,April,2022,Spring,Thursday,False,April,2022,Spring,Thursday,False,April,2022
2000002825513359,1,147.25,-58.5200004577637,0.0,88.7300033569336,Sí,MLM797896213,Mercado Libre,166.25,Naucalpan,Estado De México,53320,Mercado Envíos Full,Mercado Envios,2022-04-16,2022-04-16,2022-04-16,147.2500038146973,0,Spring,Saturday,False,April,2022,Spring,Saturday,False,April,2022,Spring,Saturday,False,April,2022
2000002824649039,1,175.0,-64.8300018310547,0.0,110.169998168945,Sí,MLM797896213,Mercado Libre,166.25,Cuauhtémoc,Distrito Federal,6900,Mercado Envíos Full,Mercado Envios,2022-04-13,2022-04-13,2022-04-13,174.99999999999972,0,Spring,Wednesday,False,April,2022,Spring,Wednesday,False,April,2022,Spring,Wednesday,False,April,2022
5221013837,1,166.25,-62.8400001525879,-94.0,103.410003662109,Sí,MLM797896213,Mercado Libre,166.25,Azcapotzalco,Distrito Federal,2120,Mercado Envíos Full,Mercado Envios,2022-04-02,2022-04-02,2022-04-02,260.2500038146969,0,Spring,Saturday,False,April,2022,Spring,Saturday,False,April,2022,Spring,Saturday,False,April,2022
